Date,Exercise,Set #,Reps,Weight,Duration
"Friday, April 17, 2026",Goblet Squats,1,10,50,
"Friday, April 17, 2026",Goblet Squats,2,10,50,
"Monday, March 23, 2026",Goblet Squats,1,12,48,
"Monday, March 23, 2026",Goblet Squats,2,12,48,
"Monday, March 16, 2026",Goblet Squats,1,12,69,
"Monday, March 16, 2026",Goblet Squats,2,12,69,
"Monday, March 9, 2026",Goblet Squats,1,12,69,
"Monday, March 9, 2026",Goblet Squats,2,12,69,
"Monday, March 2, 2026",Goblet Squats,1,12,68,
"Monday, March 2, 2026",Goblet Squats,2,12,69,
"Monday, February 23, 2026",Goblet Squats,1,12,68,
"Monday, February 23, 2026",Goblet Squats,2,12,68,
"Monday, April 20, 2026",Bench,1,7,115,
"Monday, April 20, 2026",Bench,2,7,115,
"Monday, April 20, 2026",Bench,3,7,115,
"Monday, April 13, 2026",Bench,1,7,115,
"Monday, April 13, 2026",Bench,2,7,115,
"Monday, April 13, 2026",Bench,3,7,115,
"Tuesday, March 31, 2026",Bench,1,7,115,
"Tuesday, March 31, 2026",Bench,2,7,115,
"Tuesday, March 31, 2026",Bench,3,15,95,
"Tuesday, March 31, 2026",Bench,4,15,95,
"Tuesday, March 17, 2026",Bench,1,7,112,
"Tuesday, March 17, 2026",Bench,2,7,112,
"Tuesday, March 17, 2026",Bench,3,15,91,
"Tuesday, March 17, 2026",Bench,4,15,91,
"Tuesday, March 10, 2026",Bench,1,7,112,
"Tuesday, March 10, 2026",Bench,2,7,112,
"Tuesday, March 10, 2026",Bench,3,15,89,
"Tuesday, March 10, 2026",Bench,4,15,89,
"Tuesday, March 3, 2026",Bench,1,7,109,
"Tuesday, March 3, 2026",Bench,2,7,111,
"Tuesday, March 3, 2026",Bench,3,15,88,
"Tuesday, March 3, 2026",Bench,4,15,88,
"Tuesday, February 24, 2026",Bench,1,7,112,
"Tuesday, February 24, 2026",Bench,2,7,110,
"Tuesday, February 24, 2026",Bench,3,15,87,
"Tuesday, February 24, 2026",Bench,4,15,87,
